Province,Year,GHI_kWh_m2_day,GHI_Annual_kWh_m2_year,T2M,RH2M,WS2M,PRECTOT
Bình Thuận,2015.0,20.280833333333334,7402.504166666667,26.569166666666664,77.505,2.8866666666666667,
Bình Thuận,2016.0,18.83833333333333,6875.991666666666,26.511666666666667,81.30416666666666,2.775,
Bình Thuận,2017.0,18.26083333333333,6665.204166666666,25.925,84.19333333333334,2.526666666666667,
Bình Thuận,2018.0,18.7775,6853.787499999999,26.16583333333333,81.22416666666668,2.875833333333333,
Bình Thuận,2019.0,19.8025,7227.912499999999,26.374166666666667,81.13833333333334,2.845833333333333,
Bình Thuận,2019.5,18.991,6931.714999999999,26.338,81.651,2.692,
Bình Thuận,2020.0,19.135,6984.275000000001,26.5775,79.995,2.6558333333333333,
Bình Thuận,2021.0,18.895,6896.674999999999,25.855,83.31583333333333,2.6591666666666667,
Bình Thuận,2022.0,18.44,6730.599999999999,26.008333333333336,83.42833333333333,2.4858333333333333,
Bình Thuận,2023.0,18.8125,6866.5625,26.488333333333333,82.26166666666667,2.6416666666666666,
Bình Thuận,2024.0,18.8175,6868.3875,26.865,81.76833333333333,2.605,
Cần Thơ,2015.0,19.171666666666667,6997.658333333333,28.135,74.67,2.658333333333333,
Cần Thơ,2016.0,18.366666666666667,6703.833333333333,28.011666666666667,78.26666666666667,2.6966666666666668,
Cần Thơ,2017.0,18.051666666666662,6588.858333333334,27.00916666666667,83.83583333333333,2.295,
Cần Thơ,2018.0,18.13833333333333,6620.491666666666,27.06583333333333,82.96833333333333,2.4308333333333336,
Cần Thơ,2019.0,18.828333333333333,6872.341666666667,27.33833333333333,81.56333333333333,2.4825,
Cần Thơ,2019.5,18.312,6683.88,27.486,81.181,2.426,
Cần Thơ,2020.0,18.67833333333333,6817.591666666667,27.7075,79.56166666666667,2.3766666666666665,
Cần Thơ,2021.0,18.061666666666667,6592.508333333334,26.905,83.44166666666666,2.3158333333333334,
Cần Thơ,2022.0,17.754166666666666,6480.270833333333,26.89583333333333,84.79916666666666,2.155,
Cần Thơ,2023.0,17.896666666666665,6532.283333333333,27.519166666666667,82.415,2.3800000000000003,
