YearMonth,GHI_kWh_m2_day,T2M,RH2M,WS2M,PRECTOT,Year,Month,Lat,Lon,Province,GHI_Annual_kWh_m2_year
2015-01-01,9.69,15.74,82.99,1.84,,2015.0,1.0,21.0285,105.8542,Hà Nội,3536.85
2015-02-01,9.51,18.55,82.49,1.84,,2015.0,2.0,21.0285,105.8542,Hà Nội,3471.15
2015-03-01,9.84,22.23,84.57,2.11,,2015.0,3.0,21.0285,105.8542,Hà Nội,3591.6
2015-04-01,15.28,24.66,76.71,2.04,,2015.0,4.0,21.0285,105.8542,Hà Nội,5577.2
2015-05-01,20.35,29.22,80.87,1.74,,2015.0,5.0,21.0285,105.8542,Hà Nội,7427.750000000001
2015-06-01,19.35,28.77,83.67,1.72,,2015.0,6.0,21.0285,105.8542,Hà Nội,7062.750000000001
2015-07-01,17.71,28.64,79.58,1.5,,2015.0,7.0,21.0285,105.8542,Hà Nội,6464.150000000001
2015-08-01,17.86,28.17,84.09,1.38,,2015.0,8.0,21.0285,105.8542,Hà Nội,6518.9
2015-09-01,14.35,27.32,86.9,1.56,,2015.0,9.0,21.0285,105.8542,Hà Nội,5237.75
2015-10-01,15.19,24.45,82.43,1.45,,2015.0,10.0,21.0285,105.8542,Hà Nội,5544.349999999999
2015-11-01,10.14,22.59,87.11,1.71,,2015.0,11.0,21.0285,105.8542,Hà Nội,3701.1
2015-12-01,6.94,16.41,84.4,1.72,,2015.0,12.0,21.0285,105.8542,Hà Nội,2533.1000000000004
,13.88,23.92,82.98,1.72,,2019.5,6.5,21.0285,105.8542,Hà Nội,5066.200000000001
2016-01-01,7.43,15.68,85.44,1.77,,2016.0,1.0,21.0285,105.8542,Hà Nội,2711.95
2016-02-01,11.84,14.66,73.77,2.03,,2016.0,2.0,21.0285,105.8542,Hà Nội,4321.6
2016-03-01,9.83,20.11,81.37,2.16,,2016.0,3.0,21.0285,105.8542,Hà Nội,3587.95
2016-04-01,13.59,25.83,84.68,1.92,,2016.0,4.0,21.0285,105.8542,Hà Nội,4960.35
2016-05-01,15.96,27.6,82.3,1.98,,2016.0,5.0,21.0285,105.8542,Hà Nội,5825.400000000001
2016-06-01,20.62,29.09,82.22,1.43,,2016.0,6.0,21.0285,105.8542,Hà Nội,7526.3
2016-07-01,18.63,28.63,84.06,1.43,,2016.0,7.0,21.0285,105.8542,Hà Nội,6799.95
2016-08-01,16.98,28.39,84.49,1.44,,2016.0,8.0,21.0285,105.8542,Hà Nội,6197.7
2016-09-01,16.52,27.14,84.93,1.38,,2016.0,9.0,21.0285,105.8542,Hà Nội,6029.8
2016-10-01,14.15,25.12,84.15,1.63,,2016.0,10.0,21.0285,105.8542,Hà Nội,5164.75
2016-11-01,10.76,20.29,83.61,1.76,,2016.0,11.0,21.0285,105.8542,Hà Nội,3927.4
2016-12-01,11.55,17.81,77.96,1.59,,2016.0,12.0,21.0285,105.8542,Hà Nội,4215.75
,13.99,23.39,82.45,1.71,,2019.5,6.5,21.0285,105.8542,Hà Nội,5106.35
2017-01-01,8.14,17.62,84.76,1.55,,2017.0,1.0,21.0285,105.8542,Hà Nội,2971.1000000000004
2017-02-01,10.38,17.98,79.26,2.07,,2017.0,2.0,21.0285,105.8542,Hà Nội,3788.7
2017-03-01,10.22,22.19,82.03,2.45,,2017.0,3.0,21.0285,105.8542,Hà Nội,3730.3
2017-04-01,13.38,24.82,78.27,2.03,,2017.0,4.0,21.0285,105.8542,Hà Nội,4883.700000000001
2017-05-01,16.97,26.68,79.71,1.72,,2017.0,5.0,21.0285,105.8542,Hà Nội,6194.049999999999
2017-06-01,15.74,28.81,83.58,1.52,,2017.0,6.0,21.0285,105.8542,Hà Nội,5745.1
2017-07-01,16.01,27.98,86.55,1.47,,2017.0,7.0,21.0285,105.8542,Hà Nội,5843.650000000001
2017-08-01,14.83,28.01,86.86,1.31,,2017.0,8.0,21.0285,105.8542,Hà Nội,5412.95
2017-09-01,14.83,27.91,86.85,1.13,,2017.0,9.0,21.0285,105.8542,Hà Nội,5412.95
2017-10-01,12.48,23.53,87.11,1.67,,2017.0,10.0,21.0285,105.8542,Hà Nội,4555.2
2017-11-01,10.6,19.85,84.58,1.66,,2017.0,11.0,21.0285,105.8542,Hà Nội,3869.0
2017-12-01,8.22,15.19,80.82,1.65,,2017.0,12.0,21.0285,105.8542,Hà Nội,3000.3
,12.66,23.4,83.4,1.68,,2019.5,6.5,21.0285,105.8542,Hà Nội,4620.9
2018-01-01,6.83,16.42,83.77,2.05,,2018.0,1.0,21.0285,105.8542,Hà Nội,2492.95
2018-02-01,8.39,15.94,80.55,1.97,,2018.0,2.0,21.0285,105.8542,Hà Nội,3062.3500000000004
2018-03-01,12.6,21.53,80.8,2.18,,2018.0,3.0,21.0285,105.8542,Hà Nội,4599.0
2018-04-01,11.69,23.56,82.19,2.1,,2018.0,4.0,21.0285,105.8542,Hà Nội,4266.849999999999
2018-05-01,18.83,27.72,84.65,1.85,,2018.0,5.0,21.0285,105.8542,Hà Nội,6872.95
2018-06-01,17.48,28.51,82.44,1.47,,2018.0,6.0,21.0285,105.8542,Hà Nội,6380.2
2018-07-01,17.1,28.4,85.7,1.52,,2018.0,7.0,21.0285,105.8542,Hà Nội,6241.500000000001
2018-08-01,15.41,28.11,86.28,1.37,,2018.0,8.0,21.0285,105.8542,Hà Nội,5624.65
2018-09-01,16.62,26.89,85.3,1.35,,2018.0,9.0,21.0285,105.8542,Hà Nội,6066.3
2018-10-01,13.31,23.51,85.15,1.57,,2018.0,10.0,21.0285,105.8542,Hà Nội,4858.150000000001
2018-11-01,11.66,21.52,84.45,1.44,,2018.0,11.0,21.0285,105.8542,Hà Nội,4255.9
2018-12-01,8.41,16.89,86.08,1.87,,2018.0,12.0,21.0285,105.8542,Hà Nội,3069.65
,13.22,23.29,83.98,1.73,,2019.5,6.5,21.0285,105.8542,Hà Nội,4825.3
2019-01-01,6.8,16.08,86.78,1.68,,2019.0,1.0,21.0285,105.8542,Hà Nội,2482.0
2019-02-01,10.61,21.14,84.89,2.03,,2019.0,2.0,21.0285,105.8542,Hà Nội,3872.65
2019-03-01,10.9,22.25,85.16,1.96,,2019.0,3.0,21.0285,105.8542,Hà Nội,3978.5
2019-04-01,14.22,27.1,83.61,1.96,,2019.0,4.0,21.0285,105.8542,Hà Nội,5190.3
2019-05-01,12.96,27.25,85.65,1.86,,2019.0,5.0,21.0285,105.8542,Hà Nội,4730.400000000001
2019-06-01,17.82,29.2,84.86,1.38,,2019.0,6.0,21.0285,105.8542,Hà Nội,6504.3
2019-07-01,17.26,29.14,83.54,1.28,,2019.0,7.0,21.0285,105.8542,Hà Nội,6299.900000000001
2019-08-01,18.0,28.4,86.47,1.48,,2019.0,8.0,21.0285,105.8542,Hà Nội,6570.0
2019-09-01,18.77,26.91,81.74,1.45,,2019.0,9.0,21.0285,105.8542,Hà Nội,6851.05
2019-10-01,12.98,24.39,86.99,1.6,,2019.0,10.0,21.0285,105.8542,Hà Nội,4737.7
2019-11-01,11.3,20.33,82.68,1.63,,2019.0,11.0,21.0285,105.8542,Hà Nội,4124.5
2019-12-01,10.51,16.8,79.28,1.63,,2019.0,12.0,21.0285,105.8542,Hà Nội,3836.15
,13.51,24.09,84.31,1.66,,2019.5,6.5,21.0285,105.8542,Hà Nội,4931.15
2020-01-01,7.29,18.2,84.35,2.14,,2020.0,1.0,21.0285,105.8542,Hà Nội,2660.85
2020-02-01,8.94,18.52,83.58,2.02,,2020.0,2.0,21.0285,105.8542,Hà Nội,3263.1
2020-03-01,10.13,22.87,83.97,2.25,,2020.0,3.0,21.0285,105.8542,Hà Nội,3697.45
2020-04-01,11.13,21.88,84.1,1.95,,2020.0,4.0,21.0285,105.8542,Hà Nội,4062.45
2020-05-01,18.08,28.4,83.96,1.65,,2020.0,5.0,21.0285,105.8542,Hà Nội,6599.2
2020-06-01,19.97,29.07,85.08,1.74,,2020.0,6.0,21.0285,105.8542,Hà Nội,7289.049999999999
2020-07-01,18.39,28.87,85.04,1.51,,2020.0,7.0,21.0285,105.8542,Hà Nội,6712.35
2020-08-01,16.69,27.88,87.92,1.67,,2020.0,8.0,21.0285,105.8542,Hà Nội,6091.85
2020-09-01,14.8,27.45,88.01,1.56,,2020.0,9.0,21.0285,105.8542,Hà Nội,5402.0
2020-10-01,12.85,22.3,87.13,2.25,,2020.0,10.0,21.0285,105.8542,Hà Nội,4690.25
2020-11-01,11.91,20.72,84.83,1.85,,2020.0,11.0,21.0285,105.8542,Hà Nội,4347.15
2020-12-01,8.47,14.65,80.84,1.81,,2020.0,12.0,21.0285,105.8542,Hà Nội,3091.55
,13.23,23.41,84.9,1.87,,2019.5,6.5,21.0285,105.8542,Hà Nội,4828.95
